datetime,open,high,low,close,volume
2025-01-01 00:00:00+00:00,134.21,134.21,134.1806,134.2,13840
2025-01-01 00:05:00+00:00,134.2,134.24,134.1401,134.1495,21798
2025-01-01 00:10:00+00:00,134.1899,134.24,134.18,134.23,9484
2025-01-01 00:15:00+00:00,134.23,134.2397,134.21,134.23,5344
2025-01-01 00:20:00+00:00,134.22,134.23,134.2,134.2,5598
2025-01-01 00:25:00+00:00,134.19,134.21,134.18,134.1901,7121
2025-01-01 00:30:00+00:00,134.2,134.21,134.18,134.2,7663
2025-01-01 00:35:00+00:00,134.2001,134.21,134.18,134.18,21535
2025-01-01 00:40:00+00:00,134.1993,134.2,134.15,134.2,15108
2025-01-01 00:45:00+00:00,134.19,134.2,134.18,134.19,19873
2025-01-01 00:50:00+00:00,134.19,134.21,134.18,134.2099,38409
2025-01-01 00:55:00+00:00,134.2,134.29,134.19,134.29,39446
2025-01-02 09:00:00+00:00,132.95,135.38,132.95,135.19,341830
2025-01-02 09:05:00+00:00,135.18,135.56,135.04,135.43,90457
2025-01-02 09:10:00+00:00,135.43,135.8,135.38,135.68,72862
2025-01-02 09:15:00+00:00,135.73,135.94,135.42,135.5,70597
2025-01-02 09:20:00+00:00,135.57,135.66,135.34,135.49,40236
2025-01-02 09:25:00+00:00,135.45,135.7,135.36,135.7,40732
2025-01-02 09:30:00+00:00,135.67,135.7,135.55,135.6,16850
2025-01-02 09:35:00+00:00,135.65,135.72,135.41,135.53,25531
2025-01-02 09:40:00+00:00,135.5,135.82,135.47,135.74,33051
2025-01-02 09:45:00+00:00,135.74,135.83,135.74,135.75,16560
2025-01-02 09:50:00+00:00,135.76,135.77,135.61,135.67,11217
2025-01-02 09:55:00+00:00,135.7,135.97,135.7,135.96,36208
2025-01-02 10:00:00+00:00,135.96,136.11,135.82,135.85,35907
2025-01-02 10:05:00+00:00,135.89,135.91,135.72,135.91,14487
2025-01-02 10:10:00+00:00,135.9,135.92,135.6,135.7,32613
2025-01-02 10:15:00+00:00,135.71,135.84,135.61,135.75,14953
2025-01-02 10:20:00+00:00,135.77,135.82,135.7,135.73,8708
2025-01-02 10:25:00+00:00,135.79,135.87,135.75,135.8,11673
2025-01-02 10:30:00+00:00,135.78,135.84,135.73,135.83,14482
2025-01-02 10:35:00+00:00,135.83,135.97,135.81,135.9,17210
2025-01-02 10:40:00+00:00,135.91,135.91,135.8,135.86,7829
2025-01-02 10:45:00+00:00,135.86,135.94,135.86,135.88,12048
2025-01-02 10:50:00+00:00,135.92,135.92,135.63,135.86,21242
2025-01-02 10:55:00+00:00,135.86,136.0,135.86,136.0,14067
2025-01-02 11:00:00+00:00,135.98,136.0,135.77,135.78,20299
2025-01-02 11:05:00+00:00,135.75,135.75,135.69,135.75,7876
2025-01-02 11:10:00+00:00,135.77,135.9,135.77,135.86,9509
2025-01-02 11:15:00+00:00,135.88,136.01,135.88,135.98,17118
2025-01-02 11:20:00+00:00,135.94,135.94,135.86,135.94,7111
2025-01-02 11:25:00+00:00,135.91,136.0,135.91,136.0,12378
2025-01-02 11:30:00+00:00,135.99,136.01,135.83,135.87,30608
2025-01-02 11:35:00+00:00,135.92,136.25,135.92,136.14,37970
2025-01-02 11:40:00+00:00,136.18,136.6,136.18,136.5,118314
2025-01-02 11:45:00+00:00,136.48,136.74,136.48,136.69,79898
2025-01-02 11:50:00+00:00,136.68,136.7,136.52,136.58,43619
2025-01-02 11:55:00+00:00,136.58,136.83,136.58,136.66,46092
2025-01-02 12:00:00+00:00,136.65,136.67,136.32,136.45,193758
2025-01-02 12:05:00+00:00,136.48,136.71,136.47,136.69,72817
2025-01-02 12:10:00+00:00,136.67,136.7,136.48,136.63,34616
2025-01-02 12:15:00+00:00,136.62,136.67,136.54,136.56,39626
2025-01-02 12:20:00+00:00,136.57,136.64,136.53,136.55,20689
2025-01-02 12:25:00+00:00,136.57,136.6,136.501,136.6,36033
2025-01-02 12:30:00+00:00,136.62,136.63,136.35,136.48,72696
2025-01-02 12:35:00+00:00,136.46,136.65,136.45,136.62,57833
2025-01-02 12:40:00+00:00,136.65,136.7,136.5,136.53,53410
2025-01-02 12:45:00+00:00,136.52,136.55,136.34,136.51,31979
2025-01-02 12:50:00+00:00,136.54,136.54,136.21,136.48,103963
2025-01-02 12:55:00+00:00,136.42,136.59,136.4,136.54,61506
